case,model,step,x,y,Cfx_ref,Cfx_case,Cp_ref,Cp_case,Yplus_ref,Yplus_case
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.956585,0.007193,9.847719e-04,9.847719e-04,1.015712e-01,1.015712e-01,0.6663,0.6663
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.960432,0.006679,9.478480e-04,9.478480e-04,1.086181e-01,1.086181e-01,0.6537,0.6537
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.964251,0.006168,9.117607e-04,9.117607e-04,1.163580e-01,1.163580e-01,0.6412,0.6412
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.968069,0.005654,8.685239e-04,8.685239e-04,1.226771e-01,1.226771e-01,0.6258,0.6258
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.971541,0.005184,8.267491e-04,8.267491e-04,1.309391e-01,1.309391e-01,0.6106,0.6106
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.974696,0.004756,7.891066e-04,7.891066e-04,1.363081e-01,1.363081e-01,0.5965,0.5965
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.977564,0.004365,7.551429e-04,7.551429e-04,1.435869e-01,1.435869e-01,0.5836,0.5836
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.980172,0.004008,7.232847e-04,7.232847e-04,1.480580e-01,1.480580e-01,0.5711,0.5711
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.982542,0.003683,6.919818e-04,6.919818e-04,1.542823e-01,1.542823e-01,0.5586,0.5586
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.984697,0.003387,6.605803e-04,6.605803e-04,1.581705e-01,1.581705e-01,0.5457,0.5457
